Seed,Closest,Furthest,Average
178,1799.69,39803.645,17917.053
179,1285.3156,38962.918,17350.756
180,1437.551,37904.047,17661.055
181,2234.8877,39213.652,16953.076
182,1426.2792,40456.453,18423.756
183,2188.6445,38557.348,17503.754
184,1404.3641,38038.37,17218.549
185,1306.4905,39997.945,17866.52
186,1679.183,39165.047,18325.254
187,1124.414,36923.918,17191.617
188,1537.1416,39938.848,18227.012
189,1556.1196,38881.105,18406.18
190,1567.2585,36435.973,16432.41
191,1906.4783,37930.688,18293.2
192,1768.0636,37446.547,16704.287
193,1704.6189,39118.98,17748.775
194,1759.095,39109.887,17590.309
195,1240.6389,37587.465,17534.064
196,1497.4523,36512.816,16809.717
197,1876.2397,39168.57,17408.082
198,1451.8127,39832.445,18197.293
199,1758.6239,39538.527,18571.295
200,1689.2108,39009.17,18244.2
201,933.79395,40171.473,18475.914
202,1474.5938,38081.984,16566.996
203,1890.7974,39616.72,17532.613
204,1751.8646,39079.35,17885.023
205,1891.974,36522.676,16989.596
206,1309.6272,37842.703,17332.402
207,1432.254,40079.383,17345.885
208,1008.04407,38910.004,17095.865
209,1781.3312,38880.945,17897.54
210,1908.0552,39811.23,18469.68
211,1587.7162,36512.14,16984.713
212,1737.492,40777.06,17637.58
213,1689.4214,35733.016,16789.367
214,1482.4349,39925.23,17953.352
215,1672.1261,40544.73,18135.523
216,1974.6675,38311.168,17539.402
217,2058.3337,36758.668,17101.479
218,1657.899,36249.008,17307.74
219,1298.9453,38257.945,18006.604
220,1229.8937,41367.266,18662.527
221,1433.8655,38118.516,18321.896
222,1413.4337,36465.938,17069.729
223,1645.7876,40885.953,18731.525
224,1775.1138,33637.73,15668.281
225,1704.4526,39022.08,18032.598
226,1146.0176,36965.53,17046.42
227,1426.9557,38939.95,17430.408
228,1882.2037,38760.777,17315.197
229,1859.4462,37338.805,17311.582
230,1666.7228,39340.5,17368.959
231,1424.4976,40477.688,17623.336
232,1709.271,39949.05,18497.988
233,1296.2938,37043.18,17319.49
234,1538.8813,39612.67,18054.916
235,1514.8477,37886.137,17594.666
236,1965.4944,38033.695,17473.314
237,1905.033,38624.234,17622.445
238,1818.4486,38862.5,17492.852
239,1511.31,37263.72,17497.2
240,1820.752,38234.87,18205.658
241,1357.0697,38707.28,18025.162
242,1877.4722,37539.03,16861.043
243,2120.3025,38917.79,17151.727
244,1556.443,39584.195,17996.21
245,2157.0232,38330.41,17538.977
246,1209.8036,40084.08,18705.271
247,2401.4153,39813.094,17896.457
248,1565.6212,36522.824,16997.58
249,1247.4911,36720.61,17117.836
250,1345.5308,38926.293,16632.094
251,1312.5721,38332.742,17175.477
252,1656.3182,38177.574,15943.625
253,1267.8048,38664.695,16753.613
254,1426.3857,39142.953,17272.943
255,1477.2583,37276.027,17512.781
256,1196.9138,38773.758,17924.043
257,1116.464,39266.484,17278.281
258,922.74304,39671.61,17055.904
259,1581.3654,39219.266,17530.201
260,2049.0718,40118.74,18031.37
261,1192.3724,36188.715,17666.467
262,1377.216,37690.086,17211.18
263,1570.9102,39604.086,18090.988
264,1267.9624,35450.598,15895.105
265,1935.2374,38678.043,16777.416
266,1526.2124,37667.832,17716.043
267,1657.874,38885.043,17213.61
268,1684.3728,37668.965,18508.7
269,1752.7048,39320.49,17821.58
270,1118.269,37866.305,18061.941
271,1570.9342,37882.258,17815.44
272,1649.4476,39973.547,17528.08
273,1804.605,38909.953,17262.371
274,1829.2537,38341.61,17132.12
275,1524.3058,41391.7,18092.338
276,1690.6608,37665.92,17448.186
277,1247.416,37567.66,16835.156
278,2168.3982,36772.355,16932.822
279,1813.5427,38530.062,16641.926
280,1626.4108,40179.91,17826.645
281,1429.6437,35476.047,16017.705
282,1725.9587,39758.02,17873.086
283,1142.2556,40853.41,17695.127
284,2272.6157,39186.18,18241.014
285,1390.379,37215.05,17312.562
286,1429.6287,37861.83,18367.53
287,2085.684,36528.76,16398.564
288,1493.2395,37801.92,17107.281
289,1879.1226,38229.734,17732.803
290,1374.4214,39063.95,17464.385
291,1473.274,38553.125,17220.666
292,1905.091,41014.457,17706.254
293,1668.7422,40923.145,17313.709
294,1625.874,39789.43,17269.867
295,1259.5624,36314.766,17074.822
296,1810.931,37550.883,17324.375
297,1569.7073,38292.727,16664.96
298,1466.427,35788.76,16909.172
299,1687.1793,37903.777,18334.807
300,1427.3695,37659.61,15920.357
301,1544.2299,38543.453,17095.982
302,1393.2899,39064.145,17104.43
303,1397.1655,38524.66,17593.105
304,1796.7906,36999.2,17072.623
305,1453.1448,37532.523,17977.799
306,1398.8192,37002.492,16634.291
307,1554.2535,36607.305,16907.215
308,1741.4385,39525.87,18431.19
309,1790.5791,40441.42,18642.598
310,2162.3003,39725.85,17400.688
311,1495.414,39142.992,17936.545
312,1657.2373,37061.297,17448.2
313,1917.8368,41446.96,18083.203
314,1483.8331,34999.953,15855.433
315,1263.9062,38092.58,17912.188
316,1459.7942,38235.625,17517.223
317,1148.741,38844.113,17654.836
318,1462.7969,36253.6,16447.41
319,1616.1068,39645.16,17923.305
320,1476.7498,38509.12,17586.746
321,1457.6345,35388.61,16663.965
322,959.0928,39198.797,18316.676
323,1548.6971,37460.953,17345.285
324,1487.7261,39369.5,16729.81
325,1863.2123,38512.49,17318.314
326,1288.5088,38267.195,16015.3125
327,1908.1406,36761.902,17539.062
328,1335.3416,36717.08,18180.1
329,1436.8943,37184.598,16524.697
330,1434.0178,37421.13,17579.877
331,1967.5187,37013.67,17576.535
332,1117.2152,38302.11,17579.648
333,1840.8716,38174.29,17657.623
334,1254.4281,39620.92,17975.879
335,1326.1665,36753.08,16826.979
336,1798.1652,39683.516,18260.496
337,1060.7994,36528.18,16545.564
338,1508.9972,39183.58,17990.012
339,1449.2051,39006.184,17429.29
340,1339.0867,40016.473,17238.268
341,1574.4606,36361.33,17365.38
342,1346.128,39459.39,18217.662
343,1868.464,39644.844,17051.078
344,1844.2563,39343.465,18022.041
345,1657.9718,37637.875,17279.38
346,1548.0093,38820.816,17528.045
347,1480.8873,38890.113,16928.736
348,1504.2506,40155.113,17787.057
349,1985.2073,36986.266,16501.13
350,1511.361,39647.605,17113.23
351,1631.4999,37723.902,17540.475
352,1741.8403,35564.816,16824.979
353,1411.0209,37666.527,17687.43
354,2206.2844,38604.383,18380.684
355,1496.3147,38390.492,17389.742
356,1779.2228,37754.383,17307.727
357,1626.6505,37771.35,17829.367
358,1504.0305,37403.598,17502.871
359,1358.1268,38889.547,16763.164
360,1306.966,38368.445,18784.307
361,1786.9727,36536.598,16566.59
362,1147.804,37914.83,16440.95
363,1711.7179,38581.082,17827.363
364,1524.3678,38836.516,18258.557
365,1446.1042,37360.02,16676.508
366,1882.747,37800.5,18150.309
367,1932.19,37785.875,17613.129
368,1783.5675,37674.293,16945.984
369,1607.8798,38836.67,17159.883
370,1348.2333,39335.457,17078.639
371,1779.1703,38274.54,18035.611
372,1909.0195,40609.59,18183.977
373,1535.3351,38209.3,17926.688
374,1500.3207,37802.855,17095.61
375,1832.2207,37856.203,16286.27
376,1394.3256,37981.4,17950.623
377,1554.6692,37137.633,17385.334
378,1767.2913,39298.914,17434.367
379,1607.7766,40465.062,18542.158
380,1398.2213,38103.99,17542.113
381,1733.3214,38323.266,18042.82
382,1613.2072,37778.984,18204.068
383,1495.9124,36987.582,17752.766
384,1829.9573,38921.31,17772.014
385,1911.4417,37517.38,17414.555
386,1671.8871,37831.72,17981.258
387,1258.1044,38672.18,17530.283
388,1489.521,37884.777,18328.537
389,1568.9194,40391.83,18315.379
390,1767.6301,38394.406,17731.025
391,967.85223,38084.445,17239.99
392,1807.3656,39127.97,17857.426
393,2105.188,36341.797,16062.509
394,2427.2393,39939.64,18008.21
395,1631.5751,38914.09,17999.734
396,2215.6826,33995.203,16511.611
397,1173.8093,39140.184,17396.37
398,1206.4215,36254.957,15660.835
399,1600.6202,37476.83,16809.188
400,1399.4813,38336.816,18027.002
401,1253.5708,36737.363,17153.883
402,1322.337,39144.957,18349.059
403,1795.8672,40107.723,17922.959
404,1681.8956,38902.2,18248.867
405,1384.5483,39905.223,18284.617
406,1279.8738,38125.445,17270.322
407,1868.5736,37615.363,16416.34
408,1955.4565,37317.188,17443.11
409,1315.1118,38831.875,16902.516
410,1753.1929,37811.312,17902.014
411,2267.1604,36678.32,17753.85
412,1755.5385,36682.168,16946.773
413,1405.6326,37402.137,17881.805
414,1360.2213,38753.688,17354.143
415,1093.5186,36035.61,17052.191
416,1095.7687,40726.223,18039.965
417,1696.3011,40253.96,17701.203
418,1583.5366,36014.82,17007.766
419,1980.2025,38259.695,17655.293
420,1599.9635,36754.9,16899.617
421,1700.9796,36631.96,16735.725
422,1327.324,36692.47,16598.754
423,1820.8374,38034.938,17182.264
424,1819.5599,38190.89,17777.527
425,1993.0862,32966.387,16042.88
426,1777.5258,36442.188,16963.67
427,1247.0786,35834.484,16541.258
428,1635.5819,40248.773,18018.62
429,2004.7871,37950.07,17046.488
430,1531.2455,40366.223,18512.75
431,1732.7861,38963.797,16509.586
432,1658.5116,32139.598,14723.295
433,1368.9835,38390.76,17755.506
434,1846.6428,36391.54,17613.076
435,1519.2751,39863.812,17384.816
436,1940.7087,41558.984,17727.617
437,1396.0382,40498.54,18373.555
438,1504.0063,35810.64,17929.83
439,1542.774,36990.35,17215.031
440,1279.0178,38515.58,17728.504
441,1714.4315,39487.176,18165.775
442,1384.6265,38504.258,17860.414
443,1360.7765,38604.543,17701.102
444,1802.5177,40371.082,17908.482
445,1464.3304,35506.668,16588.111
446,1484.0725,35071.297,16803.236
447,1810.1465,38376.08,17321.336
448,1539.3365,37910.574,16972.055
449,1413.651,38084.438,18034.105
450,1937.4197,37471.984,17209.271
451,1851.4062,39814.152,18439.994
452,1573.1506,37412.895,17783.174
453,1602.6124,38748.457,18049.42
454,1618.5045,38944.508,17668.105
455,1328.3186,37079.297,16801.725
456,1391.8064,39292.207,17809.053
457,1722.9711,37462.203,17246.764
458,2524.0251,35196.152,16742.676
459,1646.2711,37129.977,17535.682
460,1681.5365,36795.484,17569.688
461,1590.9581,38391.94,17154.867
462,1669.0348,35938.496,16158.967
463,1600.0209,37539.92,17784.945
464,1799.7671,39586.72,17549.307
465,2129.1143,38902.52,17570.725
466,1076.3992,37727.06,17865.564
467,1831.1113,40037.99,17407.977
468,1270.4452,37815.07,16236.304
469,1635.5703,37031.805,16668.66
470,1732.1125,36981.254,16956.92
471,1955.4564,38204.25,17855.223
472,1845.9249,39517.695,17876.447
473,1722.0641,39779.89,16202.66
474,1253.2142,39729.406,18521.957
475,1432.7612,37486.207,17527.29
476,1825.8381,38632.164,17655.273
477,1094.717,38897.574,17702.53
478,1473.6217,38888.57,16939.34
479,1815.2427,37089.215,17410.918
480,1496.7572,40486.848,17261.363
481,1483.3429,39054.566,18209
482,1764.8948,40672.297,18995.156
483,1341.5242,38551.83,17680.889
484,1575.8784,38030.89,17525.148
485,1801.6306,39922.62,18185.3
486,1960.0513,37693.793,17224
487,2003.0962,36904.13,17831.86
488,1589.3472,40304.484,18179.664
489,1409.0413,39607.434,18098.826
490,1672.0837,39013.31,17248.926
491,1482.7844,37788.31,16371.603
492,1829.4911,36476.016,16436.795
493,1667.4822,39568.277,17654.346
494,1287.5953,38728.047,17497.969
495,1794.0231,39378.547,17452.994
496,1367.301,38548.45,17848.555
497,1700.0511,38301.21,17141.617
498,1767.3134,39154.547,17808.822
499,1756.0267,38368.957,17500.133
500,1305.8038,37891.05,18276.879
501,1839.521,38594.016,18095.498
502,1438.4205,40678.348,17815.951
503,1457.6138,39190.363,17325.668
504,1592.9811,37412.83,17107.133
505,1742.4823,39852.414,17784.32
506,1728.2706,36994.63,16735.514
507,1308.0323,36996.047,17405.346
508,1577.7042,39040.297,17875.893
509,1306.5806,37916.75,17083.35
510,1690.8041,37739.793,17166.396
511,2071.8154,38993.625,18288.43
512,1725.3846,39691.32,17955.945
513,1926.6613,36164.51,16404.531
514,1878.4302,37011.66,17384.102
515,1454.4214,38053.332,17568.148
516,1564.3499,38960.566,17981.486
517,1002.6264,38808.766,17407.018
518,1369.603,36191.3,15847.764
519,1750.3292,39006.37,18085.652
520,1195.1526,37784.27,17533.205
521,2151.8135,37429.137,17472.582
522,1747.5822,39626.03,17503.87
523,1612.3469,38199.223,17131.02
524,2420.9011,40706.145,18442.117
525,1650.9872,40204.562,18235.55
526,1432.5836,38597.254,18345.4
527,1134.2463,37998.26,17321.297
528,1872.5436,37577.168,17024.4
529,1418.1038,37997.81,17568.68
530,1488.0675,39076.137,17314.742
531,1265.9486,37209.613,18272.605
532,1919.9807,36379.66,16530.191
533,1586.0756,39712.062,18300.668
534,1787.3594,36107.58,16730.424
535,1517.6261,39706.305,18149.252
536,1193.031,39000.918,17667.035
537,1193.157,37855.227,17868.832
538,1623.8027,37993.223,17670.727
539,1210.479,38092.39,17893.158
540,1776.9886,38193.39,17910.387
541,1698.7487,39105.508,17832.955
542,1995.8798,38290.586,17517.568
543,1499.3945,39746.6,17732.508
544,2021.6752,36894.547,17422.117
545,1382.1835,35915.535,16778.129
546,1782.4595,39580.23,17191.215
547,2000.9069,38473.98,17950.334
548,1451.4603,39564.98,18479.74
549,1570.5706,38945.36,17954.803
550,1208.4712,38586.777,18239.365
551,1606.0807,37273.695,16501.965
552,1621.7963,40051.145,18239.34
553,1347.6678,39612.945,16980.713
554,1841.6272,38408.26,17368.414
555,2107.3254,38767.984,18112.197
556,1431.2056,37215.703,17619.574
557,1189.0884,37844.52,17561.293
558,1519.5255,39009.844,17552.164
559,2004.6313,37213.805,16456.451
560,1328.0759,38818.227,16992.322
561,1713.0865,39134.227,17779.008
562,1873.519,39769.047,17176.422
563,2038.4805,37746.86,17858.262
564,1187.2985,38276.918,17384.035
565,1887.5521,35805.98,16241.83
566,1847.183,40195.137,18669.527
567,2155.678,36861.02,16453.717
568,1678.952,37470.543,16819.133
569,1832.1256,40429.902,18264.875
570,1229.8984,39104.508,17449.492
571,1648.2083,36945.027,17064.393
572,1618.5931,38872.42,18073.135
573,1821.7517,37299.113,16631.455
574,1496.7642,38157.36,17522.414
575,1420.2264,39719.547,18628.3
576,1168.4673,39053.844,17136.617
577,1613.6224,40428.902,17631.174
578,1652.8438,37533.746,17444.035
579,1374.2366,39615.5,17033.504
580,1729.6499,37298.875,16965.127
581,1371.5306,38329.902,18005.393
582,1525.3743,37476.844,17173.059
583,1935.1688,38680.85,17121.92
584,1206.1013,37823.98,17534.568
585,2066.0144,39134.004,17515.316
586,1594.9523,38627.273,17694.916
587,1775.6145,39414.984,18485.555
588,2177.747,37843.062,16851.152
589,1901.0494,40375.2,17410.967
590,1650.7144,38997.055,17244.076
591,1948.7249,39711.79,19014.928
592,1355.3717,38351.855,17010.252
593,1642.4331,35828.055,16512.33
594,1428.6592,37364.85,17469.527
595,1590.3474,39019.547,17526.004
596,1465.774,38256.082,17399.117
597,1292.7905,35977.43,16815.79
598,1163.4558,38099.074,17523.531
599,1657.9895,36831.24,18613.834
600,1305.7213,39608.527,18598.21
601,1450.4906,39290.758,17246.086
602,1385.9325,39871.99,17711.736
603,1705.9031,39578.652,17618.342
604,1765.3442,40867.805,18490.018
605,1736.6912,38354.39,17355.527
606,1965.7151,36963.883,16360.686
607,1268.0339,40324.285,17877.684
608,1832.3315,35721.66,17111.113
609,1501.8174,41181.676,18870.43
610,1536.0312,37249.418,17661.521
611,1517.5369,40024,18118.598
612,1529.2412,38398.88,17668.592
613,1438.6699,36721.516,17182.26
614,1491.0977,37430.832,17899.893
615,2020.0555,39559.86,17535.979
616,1768.3566,38354.094,17848.314
617,1878.592,37778.266,17129.254
618,1353.6855,37817.38,17114.672
619,1322.8568,38398.69,17641.57
620,2103.4033,39091.09,17527.18
621,1546.7405,39904.383,17998.17
622,1545.615,39022.08,17600.164
623,1049.3563,38375.613,17586.553
624,1763.9673,40049.746,18371.68
625,1431.4095,36600.53,16261.658
626,1264.7366,37066.312,17057.95
627,1164.2831,37126.945,16784.361
628,1607.9733,39089.234,18498.12
629,1413.9438,38457.54,17298.535
630,1493.6044,37325.695,17609.797
631,1732.072,37373.258,17604.81
632,1156.8528,40620.27,18298.898
633,1742.0524,38048.082,17276.572
634,1173.4323,36056.93,17449.47
635,1718.6599,36794.367,18016.219
636,1697.9062,39148.72,18130.068
637,1418.3668,39644.793,18246.318
638,1682.5625,37553.15,17523.076
639,1584.7948,36782.125,16655.922
640,1602.8727,39769.56,18581.496
641,1542.6683,37281.15,16934.814
642,2061.8508,38633.34,17585.21
643,1496.408,39133.492,17438.275
644,1531.7542,38022.203,18007.432
645,1735.8429,39237.992,17066.781
646,1688.4385,40364.82,18153.76
647,1596.8389,38524.43,17655.658
648,1379.154,38168.055,17561.879
649,1486.8735,35210.33,17135.475
650,1272.9061,38963.727,16850.479
651,1158.7913,38738.355,17681.318
652,1454.6533,38536.434,18117.18
653,1248.6365,39889.824,18291.701
654,1746.2714,37581.336,16509.129
655,1685.3413,38727.33,17799.078
656,1883.1294,39220.875,17939.367
657,1623.1956,36907.242,17401.416
658,1269.8828,38150.89,17778.11
659,1472.6305,38466.98,16613.32
660,1805.5284,37103.098,17222.406
661,1252.332,39239.86,18134.328
662,1788.4425,38442.22,17418.4
663,1680.7728,38536.812,17568.299
664,1475.1461,38742.703,17211.604
665,1845.8639,38610.85,17508.262
666,1463.6725,35896.664,16362.526
667,1554.0734,38515.98,17346.295
668,1451.5986,39198.773,17282.277
669,1137.1473,39093.805,17606.447
670,1568.7782,37435.438,17747.07
671,1736.7693,37574.434,17885.857
672,1490.021,37304.65,17548.031
673,1838.9113,39828.855,18399.668
674,1551.5786,39716.918,18296.354
675,1125.4563,39140.297,17575.951
676,1270.8348,38195.055,17426.219
677,1297.3873,37254.164,17272.508
678,1476.1509,39850.586,17250.037
679,1792.9388,38490.176,16510.633
680,1206.3638,38597.285,17741.484
681,1290.6428,40040.426,18410.414
682,1518.7024,38930.742,17632.424
683,1726.7733,37386.086,17697.04
684,1511.6849,40295.37,17775.861
685,1210.8412,38399.383,17083.033
686,1147.5415,38938.266,17689.617
687,1152.465,37931.02,17266.844
688,1926.8813,38790.953,19077.043
689,1277.6244,37414.344,17801.213
690,1181.0688,38240.418,16939.875
691,1556.7555,34958.08,16419.82
692,1515.2065,37184.906,17260.777
