Seed,Nearest A1,Furthest A1,Average A1,Nearest A2,Furthest A2,Average A2,Nearest A3,Furthest A3,Average A3,Nearest B1,Furthest B1,Average B1,Nearest B2,Furthest B2,Average B2,Nearest B3,Furthest B3,Average B3,Nearest C1,Furthest C1,Average C1,Nearest C2,Furthest C2,Average C2,Nearest C3,Furthest C3,Average C3,Overall Nearest,Overall Furthest,Overall Average
42866898,226.15782,15774.097,8050.0435,696.6657,18824.182,9801.707,2578.6343,41944.062,18047.8,1517.26,17493.768,9306.925,1302.4413,24985.068,11124.926,2577.9634,68357.664,28471.9,771.57196,14617.78,7701.692,508.18198,19101.365,8693.074,4094.372,52718.23,24282.059,1585.91650390625,30424.0234375,13942.236328125
45730218,1377.6078,18150.572,7368.1216,619.6495,17862.535,8028.751,2697.321,41944.062,19291.143,1414.834,18110.332,9051.654,3281.1082,43830.895,19842.604,2548.4824,57134.652,26965.098,512.4438,15597.943,6172.934,1317.1896,20568.432,8523.95,2397.897,52604.688,20106.379,1796.281494140625,31756.01171875,13927.8486328125
47693983,226.15782,12905.519,6463.347,1097.1079,19757.854,8181.748,2282.402,36003.965,14627.201,255.08127,19661.879,10423.238,3548.8755,55305.9,22934.436,1992.1698,69125.28,30113.814,1165.9747,13171.359,6412.563,1095.7563,16539.287,7883.0127,1097.6418,41527.316,17888.912,1417.907470703125,31555.373046875,13880.9189453125
53895497,751.2014,15260.553,7223.225,1094.3628,19547.885,8148.106,1720.205,41702.098,17595.275,547.1742,17348.605,8589.558,1216.9216,48106.004,21727.92,891.37085,68302.27,27731.688,1126.1388,15442.796,7261.065,586.8859,24061.764,8874.686,1097.6418,39659.918,17061.145,1003.5447387695312,32159.099609375,13801.4072265625
57813911,652.8713,15747.479,7623.783,497.27368,18680.457,8086.073,1984.5232,30878.06,14663.309,1173.2672,21475.43,9702.199,712.7649,41982.76,15605.227,2587.4912,52900.45,26474.424,828.523,17393.756,8560.966,1317.1896,28371.523,11319.311,4146.047,57258.61,23492.238,1544.43896484375,31632.05859375,13947.5029296875
63263539,1065.8203,18819.26,8200.316,594.3645,19276.033,8197.779,3514.6655,40117.426,19166.574,261.48605,21555.986,9735.371,1590.8347,39363.086,18517.207,2995.4565,54129.45,26761.398,1265.5569,17042.797,7059.223,832.5928,20086.582,9275.013,1311.4471,40107.23,18001.229,1492.4693603515625,30055.31640625,13879.345703125
63327218,58.381393,14186.504,6728.1763,1473.8771,17776.852,8593.159,544.84625,38346.61,14044.902,321.58444,21761.701,9865.889,1939.0211,45074.12,19937.941,2577.9634,68302.27,31024.732,1247.3209,14807.763,7185.268,1429.9073,24419.67,9053.766,986.3714,45225.984,18490.873,1175.474853515625,32211.275390625,13880.5234375
66091173,335.45334,15077.324,7267.6,594.3645,20562.91,9512.529,1723.4113,38914.957,17448.764,1759.275,21976.7,9089.696,2625.6785,44090.445,18366.773,2995.4565,52111.598,26628.002,856.1386,13772.822,6922.668,1196.3754,23294.062,9822.705,1818.2278,41977.047,19468.434,1544.93115234375,30197.541015625,13836.3525390625
67349947,918.49664,16844.8,8938.357,944.2869,21288.025,8958.265,3180.096,43591.156,18145.08,1526.8319,19140.883,9438.797,606.462,34607.574,15462.382,4566.2114,68717.055,31654.469,952.7228,17042.797,8399.418,334.128,17561.709,8440.768,2610.6094,43747.125,15144.453,1737.760498046875,31393.458984375,13842.443359375
69577590,335.45334,16394.637,6480.0225,1786.1748,18191.963,8579.8125,1014.02203,40106.75,21184.932,1904.805,24128.91,12391.021,1216.9216,27721.03,12990.645,1243.4435,52600.85,24053.62,1721.8251,16137.028,7069.8716,1884.108,22835.89,10219.907,2685.5198,48223.9,22479.33,1532.474853515625,29593.439453125,13938.7958984375
