Seed,Closest,Furthest,Average
333730546,1293.2561,32076.768,13998.475
334515354,1586.7102,34482.67,13935.951
338719146,1041.4802,30239.666,13855.06
339570204,1524.4723,33047.58,13988.629
343320609,1483.9807,32251.486,13976.123
345840773,1576.4377,32473.723,13967.434
347093438,1707.971,31039.736,13899.346
349583096,1823.1802,30644.383,13945.187
349587877,1438.2628,33485.594,13709.151
351896558,964.32477,30286.117,13879.559
357365323,1582.1364,33147.258,13942.677
357818728,1290.316,35703.125,13884.617
364984121,993.8213,30402.768,13296.1455
371567844,1272.5786,33922.047,13736.147
373061465,1264.1674,32852.336,13996.465
379632453,811.73706,32848.223,13790.504
380105927,1324.4702,30711.281,13886.37
380412201,1196.7814,34072.85,13962.262
383228540,1498.9722,32281.102,13962.764
387332890,1620.9551,29657.777,13886.529
392291757,1209.2916,33241.438,13975.824
395920780,1545.2795,32337.857,13951.81
402522659,1340.8386,32674.086,13995.086
402716680,1557.1486,34366.36,13471.2
405675271,1604.5254,29190.803,13877.917
407007740,1178.3569,28090.463,13408.667
411735606,1247.1367,30800.246,13993.947
412241748,1806.5215,33796.176,13970.848
415898867,1674.2056,31113.986,13769.916
416466743,1453.4558,31503.71,13908.054
419085419,1379.8213,31766.133,13807.613
419227304,1271.029,31413.594,13621.255
420689000,987.1398,30625.857,13854.768
423280482,1452.2712,32995.64,13906.812
423353582,1389.1876,31628.098,13961.676
430373100,1301.2344,30370.209,13535.595
437996070,2087.1904,32063.402,13719.344
440222476,1281.6732,28900.102,13751.149
440486292,1243.6998,31224.541,13975.832
441078836,1257.437,29889.664,13606.599
444498072,1221.2708,32460.736,13879.395
448718913,1290.0581,32505.215,13965.6
450107962,1318.4612,31904.945,13994.816
451130773,1481.3776,33623.082,13966.075
454621840,1762.4049,32347.875,13953.427
455817872,1539.014,33950.812,13842.582
457406609,1709.3931,30003.482,13986.23
457724937,1762.5167,32059.049,13859.51
460293335,1373.6093,30179.75,13975.372
461468258,1184.2114,27790.34,13563.402
461479979,1062.8204,28785.098,13826.233
465568718,1041.2638,32000.383,13892.029
466011388,1518.1614,30573.232,13913.672
467117453,1231.8118,30966.398,13869.463
471497781,1078.5161,31288.125,13782.971
472270159,1340.6343,33653.89,13829.139
474007578,905.8851,31518.102,13806.284
474702053,1331.1499,33065.234,13735.283
477241809,1596.5374,31550.393,13901.654
479935677,1609.4222,33359.6,13972.895
480197428,1676.639,28666.85,13874.743
489081655,1416.341,34084.15,13790.243
496281545,1118.4138,33034.504,13969.543
499108517,1532.8759,31681.139,13894.355
501317038,1162.5311,32159.209,13874.635
501742831,1770.2389,29025.709,13951.096
512002261,875.6887,34134.6,13880.899
514174446,1362.6865,29559.115,13928.574
517501332,1564.5825,29474.594,13737.52
518408709,1407.894,33723.11,13965.25
523538018,1697.2372,29928.898,13935.043
527766960,1846.7919,31237.348,13889.397
528149980,1573.4056,30570.947,13709.286
529615175,822.96436,33857.33,13950.868
531920955,1673.1356,30299.174,13994.973
532014862,1549.4722,32293.479,13823.921
533581057,1654.2656,27905.518,13630.105
535300306,1387.0399,32797.08,13876.087
535484670,1394.2866,29619.59,13735.54
536083545,1355.8848,31912.871,13939.458
537789039,1557.1545,33264.89,13941.173
540274061,932.7884,33513.562,13966.735
